Producto,Precio,Cantidad,Fecha,Cliente,Ciudad
Carne,3.71,2,2025-05-30,Sancho Amores-Cabezas,Huelva
Aceite,11.8,2,2026-01-21,Adoración Piñeiro-Almazán,Álava
Leche,0.65,3,2025-12-21,Jose Francisco Almansa Gelabert,Melilla
Café,4.48,6,2026-02-17,Dulce Muro-Artigas,Lleida
Aceite,9.14,2,2025-12-14,Leire Florinda Expósito Arranz,Pontevedra
Carne,19.75,2,2026-01-02,Natalia Cases Sandoval,Cádiz
Pan,9.15,9,2025-12-27,Marcia Roda Alcaraz,Santa Cruz de Tenerife
Pan,17.99,2,2026-04-20,Apolonia Rivero,Cáceres
Café,4.36,4,2026-02-16,Concha Rocamora Arribas,Huesca
Queso,10.27,6,2026-03-25,Román Arce Higueras,Castellón
Azúcar,5.83,4,2025-06-30,Aarón Codina,Las Palmas
Queso,13.06,7,2025-07-30,Dimas Eligio Pazos Castell,Palencia
Queso,1.39,4,2026-04-27,Gala Jáuregui Sánchez,Lleida
Aceite,19.47,7,2026-05-19,Sosimo Feijoo Blanco,Burgos
Café,9.04,6,2025-08-09,Ciríaco Riquelme-Gisbert,Valladolid
Pan,12.28,3,2025-12-23,Alberto Jerez,Albacete
Queso,15.17,9,2026-02-24,Cipriano Arce,Huesca
Arroz,0.94,8,2026-01-15,Américo Marco Cazorla,Palencia
Pan,16.03,9,2025-12-17,Aníbal Matas Prats,Las Palmas
Aceite,4.08,4,2025-09-05,Salud Corona Almansa Lamas,Ceuta
Pan,8.03,8,2025-11-04,Alma de Antúnez,Cuenca
Huevos,17.5,8,2025-11-13,Luciana Ani Valls Luján,Jaén
Queso,1.18,5,2026-05-21,Calixto Galván-Piña,Ávila
Arroz,2.64,8,2026-03-15,Victor Sarmiento Viña,Castellón
Arroz,2.65,8,2026-03-16,Inmaculada Barceló Heredia,La Coruña
Café,9.64,6,2026-03-29,Aristides Cano Garzón,Ceuta
Huevos,11.83,5,2025-08-28,Haydée Luís Gracia,Lleida
Arroz,2.59,4,2025-06-01,Quirino Pino Carballo,Almería
Azúcar,14.97,5,2025-09-26,Héctor del Sanz,Baleares
Café,18.44,5,2025-12-27,Eugenia Pareja Marín,Burgos
Carne,4.57,3,2026-05-03,Pastora Monreal Nogueira,Castellón
Pollo,0.53,1,2025-09-07,Isabela Ochoa Gámez,Córdoba
Pan,17.93,4,2025-08-04,Ambrosio Real Merino,Vizcaya
Leche,13.4,3,2025-12-27,Gustavo Arévalo Ramis,Soria
Aceite,3.9,3,2025-06-25,Sabina de Larrea,Sevilla
Pollo,13.42,1,2025-10-29,Pascual Prat-Roig,Cádiz
Carne,12.61,4,2025-07-30,Caridad Tudela Blasco,Murcia
Café,17.78,2,2025-10-29,Teodora Tere Manso Robledo,Lugo
Carne,2.41,10,2026-02-26,Patricio Olivera Mayo,Las Palmas
Café,8.82,10,2026-04-15,Ariadna Fabra-Raya,Soria
Azúcar,6.84,5,2026-04-25,Tito Ródenas Maza,La Rioja
Huevos,5.41,3,2025-06-16,Chucho Raúl Haro Estévez,Álava
Pan,6.84,5,2026-03-20,Sebastian Sarmiento-Rebollo,Lleida
Aceite,13.04,5,2025-06-18,Cayetana Donaire Ordóñez,Huesca
Pan,9.74,7,2026-01-04,Fermín de Nicolás,Cádiz
Leche,2.64,6,2026-01-02,Silvestre Bonilla,Cádiz
Azúcar,19.68,3,2025-09-03,Ruperto Jiménez Jordá,Soria
Café,0.61,1,2025-12-21,Rufino Mesa Cuervo,Murcia
Café,10.81,5,2025-10-18,Rocío Exposito Prat,Vizcaya
Azúcar,1.8,7,2026-05-01,Salomón Arranz Ferreras,Valencia
Pollo,10.6,3,2025-10-23,Lope Hierro Bartolomé,Burgos
Aceite,1.77,6,2025-12-11,Miguel Ángel Baños,Valencia
Carne,8.78,9,2025-08-08,Manu de Amor,Ceuta
Café,15.72,5,2025-11-29,José Luis Epifanio Anguita Morata,Cáceres
Azúcar,19.39,6,2026-03-29,Teodora Lluch-Escrivá,Baleares
Carne,12.6,1,2026-04-25,Evelia Clarisa Espada Montaña,Zaragoza
Pollo,5.31,5,2026-02-17,Juan Pablo Oller Sancho,Valladolid
Carne,3.07,8,2026-02-10,Lisandro de Carretero,Tarragona
Aceite,4.98,2,2025-07-10,Espiridión Jose Miguel Rocha Arnal,Huelva
Leche,8.32,6,2026-03-29,Cebrián Colomer Marín,Madrid
Aceite,10.9,4,2025-10-13,Martina Linares Perez,Valencia
Queso,8.45,8,2026-02-06,Baltasar Aguilera Morán,Zaragoza
Queso,16.1,5,2026-03-29,Ambrosio Elías-Campos,Valencia
Pollo,17.02,6,2025-07-08,Bruno Segura Benavides,Huelva
Arroz,19.13,9,2025-07-06,Aura Guitart Trillo,Girona
Arroz,19.83,2,2025-10-16,Amalia Estela Escudero Cañizares,Álava
Carne,6.79,3,2026-03-08,Saturnina Isern,Huesca
Queso,12.48,10,2025-10-21,Sandra Amat Antúnez,Las Palmas
Arroz,2.68,8,2026-03-26,Abril Pazos Moraleda,Cuenca
Pan,15.44,10,2025-06-18,África Rocamora Roma,La Rioja
Aceite,16.08,5,2025-09-25,Trinidad Giralt Palomo,Guipúzcoa
Huevos,8.95,5,2025-06-22,Xavier de Macías,La Rioja
Pan,15.65,4,2025-09-25,Paola Amarilis Llano Otero,Cáceres
Carne,3.02,9,2025-11-03,Lourdes Codina Lledó,Pontevedra
Aceite,11.43,2,2026-03-14,Calista Bosch Bayo,Valencia
Aceite,0.64,4,2026-05-04,Teodoro Tena Campillo,Santa Cruz de Tenerife
Carne,4.9,9,2026-02-20,Celestino Barrena Perelló,Girona
Café,3.73,10,2025-12-21,Salvador Vizcaíno Morales,Salamanca
Pan,8.03,4,2025-09-21,Visitación Quintanilla-Viña,Lugo
Carne,8.28,6,2025-11-04,Jafet Bello Cañas,Santa Cruz de Tenerife
Aceite,14.61,4,2026-04-01,Victoria Olivares,Lugo
Carne,12.39,6,2025-06-20,Gregorio Gras Morillo,Toledo
Carne,11.65,8,2026-01-31,Amalia de Borrell,Castellón
Café,16.49,10,2025-10-11,Íngrid Escamilla Nuñez,Palencia
Carne,7.18,3,2026-02-28,Juan Amores Galan,Ciudad
Azúcar,12.74,10,2025-12-13,Nadia Rocío Quintanilla Vilaplana,La Rioja
Azúcar,4.29,4,2026-04-21,Javi Gisbert Requena,Barcelona
Huevos,15.09,10,2025-06-06,Bartolomé Guardiola Sastre,Castellón
Azúcar,12.21,3,2025-07-08,Diego Pera,Palencia
Café,8.24,6,2025-11-18,Eduardo Sánchez Baños,Navarra
Queso,10.37,6,2026-03-02,Tito Salomón Pereira Rocamora,Pontevedra
Leche,10.55,7,2025-05-27,Amada Benítez Colomer,Palencia
Aceite,10.44,9,2025-07-15,Ruperto del Luque,Soria
Aceite,13.27,6,2025-11-05,Marco Araujo,Lleida
Queso,15.15,3,2025-08-16,Leandro de Gual,Sevilla
Carne,16.52,4,2025-09-26,Jesús Vidal Saez,Álava
Pollo,17.21,8,2026-02-25,Celso Pombo-Arellano,Las Palmas
Queso,7.18,10,2026-02-10,Mamen de Madrigal,Cantabria
Arroz,3.98,9,2025-12-11,Marino del Quirós,Baleares
Carne,5.74,9,2025-08-15,Ignacia Lluch-Alcalá,Málaga
Pan,4.49,8,2025-07-08,Remedios Castilla Villalonga,Cáceres
Pollo,3.51,10,2025-09-02,Horacio del Ruiz,Pontevedra
Huevos,19.8,3,2025-12-20,Marino Millán-Madrigal,Barcelona
Arroz,14.64,8,2025-06-12,Ascensión Niño Batalla,Toledo
Aceite,4.51,4,2025-11-11,Julio César Ariel Losada Calderón,Baleares
Aceite,1.37,6,2025-10-26,María Dolores Barbero Girón,Tarragona
Arroz,12.63,2,2025-12-09,Dalila Ángel Saavedra,Zaragoza
Pan,18.33,6,2026-02-02,Félix Burgos Acosta,Segovia
Arroz,12.72,6,2025-09-01,Rubén Adadia Salvador,Ávila
Pollo,6.23,10,2025-12-05,Armando Amador Otero,Vizcaya
Café,18.63,5,2026-05-25,Carla Calderón Saldaña,Sevilla
Leche,2.57,3,2025-09-25,Eloy del Benet,Almería
Leche,13.85,10,2025-09-30,Elisa Belda Luz,Navarra
Pollo,5.85,4,2025-08-28,Íñigo Palacios,Valencia
Pollo,11.18,9,2026-04-17,Casandra Uría,Ourense
Leche,18.91,6,2025-11-27,Roldán Cid Valcárcel,Murcia
Café,19.39,10,2026-01-17,Cayetana Iborra Vall,La Rioja
Leche,2.88,9,2025-12-19,Ainoa Martin Azorin,Ciudad
Aceite,2.45,4,2025-08-09,Estela Ávila Bilbao,Lleida
Pollo,5.92,5,2025-09-16,Rubén Chamorro Dominguez,Jaén
Azúcar,3.93,8,2025-06-26,Angelino Rodríguez Casal,Guadalajara
Pan,6.51,1,2026-02-14,Saturnina Acero Losada,La Coruña
Huevos,13.15,8,2025-12-14,Tito Pomares Mayoral,Barcelona
Pollo,14.91,10,2025-07-11,Nerea Higueras Cabo,Asturias
Azúcar,13.06,9,2025-06-08,Micaela Plaza,Córdoba
Leche,16.07,9,2025-07-04,Josefa Mateu-Fuertes,Barcelona
Aceite,7.2,2,2026-03-12,Jacinta Tovar Antón,Burgos
Pollo,19.09,2,2025-12-01,Isidora Castejón Cabezas,Sevilla
Huevos,17.13,6,2025-12-13,Sarita Jordán-Gaya,Zaragoza
Azúcar,10.28,10,2025-11-19,Fortunato Conde Noriega,La Rioja
Azúcar,13.38,8,2025-07-31,Godofredo Perez Fiol,Cuenca
Azúcar,15.51,3,2025-06-04,Flavia Carmela Vilar Bastida,Badajoz
Arroz,16.49,4,2025-06-20,Benita Iris Doménech Llabrés,Soria
Leche,1.06,1,2025-07-11,Pepito Abellán Maestre,Alicante
Aceite,15.03,5,2025-09-21,María Dolores Baena,Málaga
Pollo,18.64,7,2025-06-08,Hermenegildo Niño,Huelva
Arroz,14.03,3,2026-02-18,Sergio Gallego Canales,Ciudad
Queso,16.05,6,2026-05-23,Humberto Santana,Ourense
Pollo,8.86,7,2025-09-10,Diana Bayo Nebot,Córdoba
Carne,17.2,5,2025-07-10,Fidel Almansa Nebot,Vizcaya
Aceite,9.59,9,2025-12-15,Evangelina Pinto Marin,La Rioja
Huevos,10.96,1,2025-09-16,Anselma Corbacho Perez,Ciudad
Pan,12.72,10,2025-09-16,Bruno del Prats,Pontevedra
Aceite,10.04,4,2025-05-28,Quique Noriega-Toro,Ourense
Huevos,17.93,7,2025-10-05,Angelita del Nicolás,Pontevedra
Pollo,17.44,5,2026-02-12,Marcela Donoso,Santa Cruz de Tenerife
Café,11.37,1,2026-01-19,Javiera Palau-Borja,Pontevedra
Aceite,0.59,6,2026-01-02,Eugenio Hidalgo Bernal,Cáceres
Azúcar,18.73,3,2025-12-29,Cayetana Sebastián-Galan,Santa Cruz de Tenerife
Carne,0.7,7,2025-09-04,Sabas Garriga Avilés,Guadalajara
Huevos,2.06,1,2026-04-23,Hernán Lucena-Hurtado,Valladolid
Carne,5.21,4,2025-06-30,Susanita de Cazorla,Cádiz
Aceite,13.38,9,2026-01-06,Ileana Gisbert Haro,Cádiz
Huevos,4.74,6,2025-11-24,Rosalinda Vergara Valls,Huelva
Azúcar,1.26,8,2025-09-22,Palmira Estévez,Barcelona
Azúcar,13.96,1,2025-08-29,José Ángel Angulo Prado,Ceuta
Azúcar,2.61,6,2026-05-20,Eulalia del Morillo,Baleares
Arroz,11.94,5,2026-02-20,Chucho Ambrosio Estévez Jordán,Navarra
Queso,10.57,6,2025-09-23,Inmaculada Salvà,Córdoba
Pollo,9.14,5,2026-02-11,Alondra Gascón-Salinas,Salamanca
Queso,13.46,8,2025-06-07,Nacho Lloret Almansa,Asturias
Arroz,7.21,10,2026-04-23,Mirta Román Lloret,Las Palmas
Arroz,9.88,8,2025-08-15,Guiomar Larrañaga,Albacete
Huevos,15.55,7,2025-11-17,Nazaret Manuel Vega Alemany,Melilla
Pollo,16.05,9,2025-12-26,Luisa Elorza,Zamora
Pollo,18.78,4,2025-10-26,Íñigo Sevillano Oliveras,La Rioja
Arroz,3.22,1,2025-07-12,Miguel Ángel Pallarès-Sebastián,Cáceres
Azúcar,2.6,10,2025-07-27,Oriana Franch Maestre,Baleares
Leche,14.43,10,2025-07-23,Arsenio de Arana,Zaragoza
Carne,13.65,10,2025-10-11,Valero Ruben Quintanilla Villalobos,Sevilla
Aceite,6.71,10,2025-11-27,Jafet Noguera Samper,Ciudad
Carne,2.62,4,2025-07-30,Benito Ferrando-Cózar,Zamora
Huevos,19.74,9,2025-05-30,Lola Mármol,León
Azúcar,2.16,6,2026-05-14,María Belén Montoya Abad,Castellón
Azúcar,7.34,10,2025-08-17,Mamen Cisneros Murcia,Castellón
Pan,0.94,8,2026-03-05,Marciano Teo Sedano Huerta,Teruel
Pan,14.73,5,2025-08-22,Clotilde Sarmiento Sevillano,León
Pollo,14.4,4,2026-05-18,Valeria Bravo Cabeza,Girona
Aceite,11.05,5,2025-07-30,Eladio Roig Terrón,Asturias
Queso,4.57,9,2025-11-06,Antonio Ricart Marqués,Toledo
Azúcar,3.26,9,2026-02-14,Blas Juárez Nebot,Almería
Huevos,13.03,3,2025-09-22,Ignacio Raya Amo,Álava
Pollo,9.92,6,2025-12-31,Fabiana Albero Vilar,Toledo
Carne,10.47,9,2025-06-22,Vidal de Prada,Zamora
Huevos,12.66,6,2025-07-29,Leire Gonzalo Bárcena,Vizcaya
Carne,4.23,3,2025-09-04,Máximo Reig Larrañaga,Ceuta
Arroz,11.97,3,2026-01-03,Gabriela Fuentes Naranjo,Ciudad
Arroz,6.7,5,2026-05-06,Severo del Roman,León
Arroz,14.58,4,2025-09-08,Reynaldo Casado Calzada,Ciudad
Huevos,9.97,1,2026-05-26,Zoraida Octavia Barba Rios,Melilla
Café,2.26,8,2025-12-01,Reyes Gárate-Atienza,Albacete
Huevos,16.83,3,2025-10-21,Beatriz Pedrero Núñez,Madrid
Aceite,19.99,7,2026-03-27,Valero Infante Anaya,Alicante
Aceite,1.52,7,2025-06-01,María Pilar de Checa,Ourense
Leche,1.66,5,2025-08-15,Santiago Bolaños Pla,Zaragoza
Leche,14.66,1,2025-11-30,Carla Rosado,Córdoba
Queso,8.03,4,2025-08-11,Luis Miguel Buendía,Córdoba
Pan,2.77,6,2025-08-26,Susanita Elías Agullo,Cantabria
Carne,10.25,6,2025-12-09,Renata Beltran Saldaña,Soria
Azúcar,15.63,1,2026-03-18,Hector Almeida Collado,Ávila
Huevos,11.99,1,2025-08-24,Juan Carlos Gálvez Ballester,Asturias
Arroz,13.97,3,2025-08-09,Donato Dueñas,Tarragona
Carne,6.24,7,2025-09-30,Lara Benítez Gallo,Zamora
Queso,17.06,2,2026-05-13,Eloy Iglesias Raya,Murcia
Huevos,18.42,7,2025-09-21,Charo Peláez Aragonés,Navarra
Café,12.18,5,2025-11-14,Irma Fonseca,Málaga
Carne,19.14,4,2026-01-21,Trinidad Alcalá Lamas,Álava
Leche,14.94,9,2025-11-10,Paola Taboada-Jaume,Zaragoza
Aceite,7.46,8,2026-01-13,María Fernanda Ferrándiz Tomas,Málaga
Leche,6.86,9,2025-06-19,Anna Tejada Nebot,Toledo
Queso,12.18,2,2026-01-18,Hugo Madrid,León
Leche,6.22,2,2025-06-16,Ruperto Gracia-Herrero,Girona
Leche,5.4,8,2025-10-04,Cristina Cortina Mateu,Cáceres
Carne,14.18,1,2025-08-05,Estefanía Delfina Domínguez Bas,Toledo
Café,2.08,3,2025-10-19,Jose Antonio Pellicer Ribera,Las Palmas
Queso,17.88,5,2025-11-02,Dimas Varela Medina,Murcia
Huevos,11.02,5,2026-05-22,Azucena Irma Correa Pagès,Vizcaya
Arroz,19.39,10,2026-05-01,Rosa María Tirado,Girona
Carne,9.69,10,2026-04-13,Ernesto Cadenas,La Coruña
Carne,16.55,4,2026-04-13,Rosa Crespo Novoa,Jaén
Azúcar,10.75,4,2025-06-30,Leonor Aguiló,Segovia
Queso,12.54,8,2025-12-03,Albina Arcelia Jimenez Arregui,Vizcaya
Café,5.7,6,2026-01-09,Asunción Valeria Arellano Agustín,Sevilla
Huevos,17.84,10,2025-07-26,Julio de Castelló,Valencia
Azúcar,4.43,2,2026-02-21,Isidro Abril Montoya,Tarragona
Café,10.16,3,2025-08-07,Eloísa de Borja,Murcia
Pollo,17.92,7,2026-02-15,Berto Gargallo Castañeda,Alicante
Huevos,6.1,6,2025-12-06,Efraín Carrasco Cantón,Guipúzcoa
Queso,11.41,2,2026-03-11,Conrado Solís Espinosa,Granada
Aceite,4.61,1,2026-04-08,Antonia Barrios Iglesias,Badajoz
Queso,2.5,6,2025-11-25,Donato Rojas Palomino,Salamanca
Huevos,2.46,9,2026-01-22,Toni Romero,Las Palmas
Huevos,16.49,9,2026-05-16,Consuela Anabel Marco Pera,Barcelona
Café,14.0,3,2026-01-02,Alma Ligia Peñalver Rubio,Jaén
Pollo,12.16,6,2025-07-12,Francisca Mancebo-Tapia,Huelva
Carne,17.69,5,2026-02-13,Américo del Jover,Álava
Pollo,12.6,7,2025-10-01,Agapito Barriga Roca,Navarra
Azúcar,18.44,10,2025-12-25,Humberto Gomis,Burgos
Arroz,3.21,1,2025-09-14,Armida Barriga Carnero,Palencia
Aceite,8.05,5,2025-08-01,Milagros Villena Figueroa,Cáceres
Queso,5.29,9,2026-03-27,Ruy Bermejo Jódar,Sevilla
Azúcar,10.2,1,2025-08-01,Priscila Olivares Mariscal,Tarragona
Pollo,2.18,5,2026-04-27,Julio de Bilbao,Burgos
Carne,0.8,6,2026-05-17,Samuel Azcona Mendizábal,Lleida
Queso,6.79,7,2025-05-31,Carmen Ordóñez Riera,Melilla
Carne,15.92,1,2025-08-05,Heriberto Vélez,Cádiz
Queso,14.33,8,2025-09-04,Ruben Ojeda Carballo,Lugo
Arroz,1.38,5,2026-05-14,Amor Guardiola Anaya,Córdoba
Pollo,5.2,1,2026-04-21,Antonio Moya Castelló,Girona
Café,1.26,4,2025-06-16,Graciano Collado Piquer,Castellón
Huevos,17.41,10,2025-07-05,Leonardo Jove Villar,Pontevedra
Queso,11.47,10,2025-11-24,Guillermo Bonet Azorin,Teruel
Leche,5.51,3,2026-03-03,Fortunato Francisco Fabregat,Murcia
Pan,11.98,4,2025-11-11,Ximena Camino-Amo,Ávila
Arroz,5.66,2,2025-07-17,Nazario Laguna Velázquez,Álava
Café,9.93,3,2026-02-07,Benito Melero Lumbreras,Valladolid
Carne,10.78,7,2026-02-08,Julieta Carmona Vilaplana,La Rioja
Carne,1.0,8,2026-04-10,Susanita Cuenca Molins,Girona
Carne,9.29,10,2025-08-21,Dan Aragonés Mosquera,Castellón
Azúcar,18.48,6,2025-06-02,Herberto Lluch Posada,Vizcaya
Pan,10.43,3,2025-08-31,Guillermo Joaquín Bas Iñiguez,Castellón
Pollo,5.89,10,2025-12-02,Jose Francisco de Amigó,Córdoba
Leche,12.78,5,2025-10-08,Luis Zamora Arellano,Sevilla
Pan,18.7,7,2025-08-07,Itziar Bermúdez-Hoz,Valladolid
Huevos,3.14,1,2025-06-02,Albert Martorell,Girona
Queso,6.41,4,2025-11-19,Brunilda Jiménez,Guipúzcoa
Pollo,10.51,8,2026-01-03,Roque Vázquez Mateos,Valencia
Arroz,18.98,3,2025-06-14,Quirino Bello-Coronado,Santa Cruz de Tenerife
Azúcar,8.48,2,2025-07-20,Damián de Valera,Cuenca
Huevos,6.59,4,2025-09-27,Ema Estefanía Andres Pelayo,Cuenca
Pan,9.43,4,2025-11-20,Juanito Sanjuan Carbonell,Badajoz
Azúcar,5.7,9,2025-12-26,Glauco Arregui Ortuño,Cantabria
Carne,3.8,8,2025-06-09,René Pascual Peralta,Alicante
Café,6.77,10,2026-01-20,Susana Galindo Cruz,Tarragona
Carne,8.9,1,2025-11-18,Laura Navarrete,Asturias
Carne,3.54,6,2025-11-08,Anita Villalonga-Molins,Cáceres
Azúcar,17.97,4,2025-08-08,Felipe del Gisbert,Córdoba
Arroz,8.68,5,2025-09-09,Gabriela Marcos Lastra,León
Pollo,6.71,2,2026-01-15,Consuela Valcárcel Lorenzo,Cuenca
Arroz,15.27,5,2025-06-01,Manola Torrecilla Segura,Burgos
Pan,13.11,9,2026-05-04,Cristian Monreal Oller,Castellón
Aceite,4.64,6,2025-06-10,Olimpia Bermúdez Muñoz,Baleares
Café,10.31,7,2025-11-29,Gil de Vallejo,Guipúzcoa
Queso,2.86,3,2025-06-12,Maximiliano Nicanor Bautista Flores,Valladolid
Café,10.81,10,2025-11-29,Elba Tejedor-Samper,Tarragona
Carne,2.69,8,2025-11-14,Luisina Heras Sancho,Guadalajara
Arroz,14.21,9,2025-09-10,Dionisia Anguita Palmer,Soria
Huevos,4.63,7,2026-03-28,Adolfo Sales Borrell,Málaga
Arroz,8.6,5,2025-09-13,Samuel Mascaró Sanmartín,Ávila
Huevos,7.09,7,2026-05-24,Jose Antonio Bayón Huerta,Barcelona
Azúcar,7.98,7,2025-10-03,Gala Arnal,Burgos
Aceite,15.51,4,2025-09-16,Yaiza Mas Domingo,Lugo
Pan,2.87,10,2025-11-02,Pía Marqués,Ciudad
Pollo,3.37,3,2025-11-26,Guadalupe Aránzazu Villegas Gimeno,Santa Cruz de Tenerife
Huevos,1.31,8,2025-10-05,Isidoro Mateos Álvarez,Burgos
Huevos,4.21,4,2026-03-22,Rosario Leal,Sevilla
Café,11.64,4,2026-05-16,Brunilda Bravo-Alcalá,La Rioja
Pollo,15.33,2,2025-10-31,Candelas Pou Aramburu,Sevilla
Aceite,1.96,5,2026-02-16,Jose Angel Salazar-Jaén,Jaén
Pollo,3.51,8,2025-11-18,Arturo Aurelio Sedano Espejo,Ceuta
Pan,1.88,3,2026-03-13,Adoración Otero Marí,Valencia
Pollo,9.65,8,2026-04-30,Trinidad Castro Gámez,Cádiz
Pan,15.72,7,2025-08-10,Clara Alfonso Franch,Asturias
Aceite,5.82,5,2026-01-02,Baltasar Vara Bonet,Huesca
Leche,10.75,8,2025-05-30,Amelia Tapia-Gutiérrez,Cuenca
Aceite,11.9,2,2026-02-05,Salvador Osuna Fernández,Vizcaya
Arroz,16.78,3,2026-04-15,Nydia Cardona Jordá,Guadalajara
Leche,1.91,9,2025-12-07,Rufina Luna,Valencia
Pollo,6.59,8,2025-10-10,Xavier Mayoral Martorell,Asturias
Azúcar,6.05,3,2026-03-03,Simón Gálvez-Carvajal,Palencia
Pollo,2.21,1,2025-06-07,Baldomero Moya Corbacho,Valladolid
Queso,16.22,6,2026-01-12,Valerio Iglesia Cuadrado,Segovia
Pollo,17.36,5,2025-12-10,Azucena Bárcena,Tarragona
Aceite,13.11,6,2025-09-14,Renata del Álamo,Salamanca
Arroz,15.62,3,2025-10-07,Hernando Román Múñiz,Teruel
Pollo,17.9,2,2026-01-29,Nuria Alegre-Jordán,Sevilla
Queso,19.93,4,2026-04-26,Nando Robledo Sanmartín,Santa Cruz de Tenerife
Carne,14.81,7,2025-11-07,María Pilar Gargallo,Lleida
Carne,15.61,9,2026-03-19,María Teresa Serra Simó,Ceuta
Carne,17.74,6,2025-10-09,Amador Alegre-Mayoral,Cádiz
Queso,16.38,4,2025-06-17,Francisca Montoya Bastida,Huesca
Huevos,2.02,2,2025-11-11,Concha Belda,Ceuta
Carne,7.55,3,2025-08-01,Nicolás Valderrama Duarte,Zaragoza
Pollo,13.63,9,2025-06-25,Eva María Pinilla Cañellas,Pontevedra
Arroz,18.08,8,2025-11-09,Carmela Etelvina Tamayo Isern,Valladolid
Huevos,1.89,3,2025-06-24,Berto Cañellas-Reig,Melilla
Queso,11.63,4,2026-02-27,Aitana Malena Vila Perales,Girona
Aceite,9.08,10,2025-12-22,Hilda Peñas Borrell,Cuenca
Leche,12.66,1,2026-01-07,Eutimio Samuel Campillo Prado,Cádiz
Pan,13.71,7,2025-09-27,Gertrudis Zabala Pascual,Cáceres
Azúcar,7.03,2,2025-10-15,Saturnino Amor Ferrández,Asturias
Carne,4.6,1,2025-09-04,Samanta Itziar Manso Suárez,Ourense
Pollo,6.14,3,2025-11-19,Luz Seco Aranda,Ourense
Arroz,18.26,6,2025-10-26,Lorenza Flor Palau,Asturias
Huevos,11.07,2,2025-08-03,César Coello Zaragoza,Huesca
Carne,15.98,1,2026-03-23,Ruperta Mayo-Castilla,Baleares
Leche,1.7,10,2026-02-24,Eutropio Domingo Reig,Baleares
Pollo,16.58,7,2026-05-13,Marianela Barriga-Alarcón,Girona
Queso,11.04,8,2025-12-05,Eleuterio Pintor Merino,Toledo
Huevos,2.23,6,2026-03-14,Edelmira Domingo Baños,Cuenca
Azúcar,7.42,7,2026-02-17,Piedad Tapia Jaume,Asturias
Carne,6.67,1,2025-07-05,Macario Riquelme Pablo,Valladolid
